0.59316,0.8507,0.21104,0.3186,0.43651,0.69321,0.90132,0.84992,0.57002,0.31447
0.26788,0.80258,0.27369,0.29595,0.65647,0.54719,1.0352,0.97558,0.3767,-0.080803
0.34681,0.82735,0.39369,-0.052476,0.53879,0.76649,0.88112,0.91799,0.55773,-0.049672
0.77313,-0.21418,0.57152,0.43997,0.34846,0.90268,0.054362,0.34979,0.66935,0.86053
0.9266,0.66706,0.82553,0.45105,0.16772,0.81457,0.22391,0.51232,0.12735,0.28803
0.67545,0.22963,1.1331,0.33629,0.71783,0.31063,0.55546,0.011454,0.69831,0.43888
1.0545,0.007556,0.61563,0.43831,0.73348,0.27016,0.96605,0.14951,0.86557,0.79576
0.7408,0.36844,0.68137,0.74986,0.687,0.097868,0.96719,0.077509,0.44579,0.39615
0.15101,0.14436,0.80409,1.0085,0.1215,0.41875,0.08926,0.38052,0.14661,0.4849
0.74403,0.52471,0.21404,0.99629,1.1561,0.44531,0.65682,0.056583,0.62658,0.47745
0.79464,0.57072,0.6324,0.87928,0.95876,0.005869,0.67322,-0.10506,0.21692,0.63452
0.74212,0.70046,0.66128,0.29728,0.072869,0.65248,-0.0692,0.12056,0.97953,0.43368
0.076726,0.30486,0.67706,0.60048,0.15161,0.32743,0.16134,0.67597,0.50072,0.73757
0.59001,1.0626,0.44661,0.37016,-0.054358,0.69762,0.3632,0.28371,0.88851,0.44822
0.51245,0.94548,0.44016,0.27879,0.23758,0.80821,0.39972,0.096047,0.42458,0.4314
0.57867,-0.25371,0.49806,0.5529,0.74526,0.84828,0.021415,0.44075,0.72622,0.71502
0.53938,0.40688,0.7411,0.77981,0.29295,0.96909,0.2001,0.48356,0.21539,0.50429
0.50516,0.50647,0.67803,1.119,0.37172,0.87197,0.11601,1.0114,0.37688,0.48614
0.75916,-0.13863,0.47488,0.51059,0.73165,0.93599,0.46669,0.2717,0.91246,0.66739
0.36273,0.68353,0.43028,0.35148,0.55885,0.98771,0.81686,1.1149,0.77774,-0.13242
0.28375,0.52442,0.47714,1.2198,0.73356,0.33193,1.2913,-0.052152,0.54332,0.41662
0.5268,-0.038906,0.71086,0.12862,0.48193,-0.097994,0.79284,0.39609,0.83062,0.35437
0.13288,0.13919,0.5395,0.84139,0.25108,0.15594,0.18331,0.53993,0.2177,0.82606
1.0366,0.48005,0.6955,0.31474,0.49648,0.12539,0.80303,0.07549,1.0201,0.79888
0.47954,0.964,0.2746,0.44566,-0.006913,0.61202,0.38389,0.58411,0.7065,0.71575
0.8014,-0.10863,0.51798,0.3667,0.3991,0.76683,0.059614,0.40164,1.1179,0.62814
0.76622,0.2999,0.67389,0.82897,0.10672,0.64676,0.51177,0.85617,0.46202,0.29122
0.38265,0.58241,0.74593,0.88571,0.64596,0.26067,0.16616,0.77196,0.44746,0.7573
